,,,tt(1l),,,tt(2l),,,ttW,,,ttZ,,,Rarett+X(Y),,,V/VV/VVV,,,Total,,,data,,,Ratio,,,C2V=6,,,C2V=4.5,,,C2V=-2,,,C2V=3,,
Tight,EE,On Mbb-peak,Presel,6.594,±,1.295,3.908,±,1.204,4.11,±,0.173,2.196,±,0.358,1.881,±,0.065,0.133,±,0.059,18.822,±,1.815,0.0,±,0.0,0.0,±,0.0,1.332,±,0.146,0.683,±,0.024,0.504,±,0.054,0.251,±,0.028
Tight,EE,Off Mbb-peak,Presel,15.995,±,1.844,10.699,±,1.744,12.38,±,0.303,6.249,±,0.719,7.314,±,0.373,0.36,±,0.104,52.997,±,2.684,46.0,±,6.782,0.868,±,0.135,0.257,±,0.064,0.125,±,0.01,0.122,±,0.027,0.052,±,0.013
Tight,EM,On Mbb-peak,Presel,11.579,±,1.951,3.377,±,0.882,11.171,±,0.288,4.001,±,0.543,5.79,±,0.281,0.226,±,0.127,36.143,±,2.248,0.0,±,0.0,0.0,±,0.0,3.596,±,0.24,1.682,±,0.038,1.135,±,0.081,0.557,±,0.041
Tight,EM,Off Mbb-peak,Presel,31.994,±,3.016,12.267,±,1.854,35.657,±,0.511,15.82,±,1.136,20.135,±,1.139,-1.744,±,2.757,114.129,±,4.793,104.0,±,10.198,0.911,±,0.097,0.803,±,0.114,0.358,±,0.017,0.284,±,0.041,0.076,±,0.015
Tight,MM,On Mbb-peak,Presel,1.014,±,0.39,0.514,±,0.301,7.387,±,0.234,1.403,±,0.419,3.346,±,0.103,0.092,±,0.051,13.756,±,0.697,0.0,±,0.0,0.0,±,0.0,2.151,±,0.186,1.06,±,0.03,0.73,±,0.065,0.337,±,0.032
Tight,MM,Off Mbb-peak,Presel,4.481,±,1.057,1.592,±,0.819,24.043,±,0.419,5.04,±,0.744,11.528,±,0.173,0.517,±,0.13,47.202,±,1.602,61.0,±,7.81,1.292,±,0.171,0.658,±,0.103,0.244,±,0.014,0.162,±,0.031,0.067,±,0.014
Tight,LL,On Mbb-peak,Presel,19.187,±,2.374,7.799,±,1.522,22.667,±,0.41,7.6,±,0.773,11.018,±,0.307,0.451,±,0.149,68.721,±,2.972,0.0,±,0.0,0.0,±,0.0,7.079,±,0.337,3.425,±,0.054,2.368,±,0.117,1.144,±,0.059
Tight,LL,Off Mbb-peak,Presel,52.471,±,3.69,24.558,±,2.674,72.081,±,0.726,27.109,±,1.536,38.976,±,1.211,-0.868,±,2.762,214.328,±,5.722,211.0,±,14.526,0.984,±,0.073,1.718,±,0.166,0.727,±,0.025,0.567,±,0.057,0.196,±,0.024
Loose,EE,On Mbb-peak,Presel,12.306,±,1.819,5.178,±,1.211,5.86,±,0.21,3.636,±,0.461,3.195,±,0.211,0.485,±,3.894,30.661,±,4.499,0.0,±,0.0,0.0,±,0.0,1.397,±,0.15,0.612,±,0.023,0.434,±,0.05,0.214,±,0.026
Loose,EE,Off Mbb-peak,Presel,36.27,±,3.084,13.486,±,1.912,16.437,±,0.348,9.047,±,0.765,10.409,±,1.178,1.612,±,0.265,87.26,±,3.916,99.0,±,9.95,1.135,±,0.125,0.803,±,0.114,0.38,±,0.018,0.261,±,0.039,0.113,±,0.019
